Ref,Val,Package,PosX,PosY,Rot,Side
"C7","1u","C_0805_2012Metric",42.575000,-50.150000,0.000000,bottom
"C14","1u","C_0805_2012Metric",127.450600,-47.288200,90.000000,bottom
"C15","4.7u","C_0805_2012Metric",119.657174,-63.015700,-90.000000,bottom
"C16","1u","C_0805_2012Metric",117.599774,-64.234900,-90.000000,bottom
"C17","100n","C_0805_2012Metric",96.593400,-61.350000,-90.000000,bottom
"C18","4.7u","C_0805_2012Metric",96.000000,-58.625000,180.000000,bottom
"C19","1u","C_0805_2012Metric",115.454548,-64.234900,-90.000000,bottom
"C20","100n","C_0805_2012Metric",110.904548,-53.700150,90.000000,bottom
"C21","10u","C_0805_2012Metric",122.283574,-55.238300,0.000000,bottom
"C22","2.2u","C_0805_2012Metric",107.800000,-52.125000,90.000000,bottom
"C23","39n","C_0805_2012Metric",101.886600,-64.932396,180.000000,bottom
"C24","4.7u","C_0805_2012Metric",121.668974,-64.659800,-90.000000,bottom
"C25","47n","C_0805_2012Metric",118.844374,-54.364500,90.000000,bottom
"C26","44u","C_0805_2012Metric",118.844374,-57.829100,90.000000,bottom
"C27","100n","C_0805_2012Metric",99.300000,-54.225000,90.000000,bottom
"C28","47u","C_0805_2012Metric",106.458600,-46.923796,0.000000,bottom
"C29","47u","C_0805_2012Metric",100.229548,-47.025150,180.000000,bottom
"C30","47u","C_0805_2012Metric",100.244748,-44.967750,180.000000,bottom
"D7","LED","LED_0805_2012Metric",127.454974,-50.990400,90.000000,bottom
"J12","Battery Connector MCU","AMASS_XT30PW-M_1x02_P2.50mm_Horizontal",77.400000,-67.025000,0.000000,bottom
"J14","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Vertical",130.579174,-57.321100,180.000000,bottom
"L1","1u","L_Taiyo-Yuden_MD-2020",122.664574,-52.876100,180.000000,bottom
"L2","220u","L_Bourns_SRU5016_5.2x5.2mm",103.563000,-51.165596,90.000000,bottom
"P1","USB_C_Plug_USB2.0","USB_C_Receptacle_GCT_USB4110",58.150000,-75.725000,180.000000,bottom
"R8","2.2k","R_0805_2012Metric",127.454974,-54.474400,-90.000000,bottom
"R9","383","R_0805_2012Metric",127.632774,-64.659800,-90.000000,bottom
"R10","422k","R_0805_2012Metric",98.600000,-61.337500,-90.000000,bottom
"R11","100k","R_0805_2012Metric",98.600000,-64.812500,-90.000000,bottom
"R12","5.23k","R_0805_2012Metric",121.693974,-68.122800,-90.000000,bottom
"R13","30.1k","R_0805_2012Metric",123.681474,-68.122800,-90.000000,bottom
"R14","10k","R_0805_2012Metric",108.700600,-61.704696,90.000000,bottom
"R15","11k","R_0805_2012Metric",104.904600,-61.778996,-90.000000,bottom
"R16","5k","R_0805_2012Metric",104.950000,-65.362500,-90.000000,bottom
"R17","300","R_0805_2012Metric",125.654841,-64.659800,-90.000000,bottom
"R18","9.5","R_0805_2012Metric",123.676908,-64.659800,-90.000000,bottom
"R19","45.3k","R_0805_2012Metric",101.884700,-60.969996,0.000000,bottom
"R20","10k","R_0805_2012Metric",101.886600,-62.925796,180.000000,bottom
"TH1","10k","R_0805_2012Metric",125.668974,-68.122800,-90.000000,bottom
"U3","D3V3XA4B10LP","Diodes_UDFN-10_1.0x2.5mm_P0.5mm",58.875000,-69.582500,-90.000000,bottom
"U6","BQ25887","VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm",123.345574,-59.015800,180.000000,bottom
"U7","TPS54KB20RZRR","RZR0016A-MFG",103.600001,-57.284999,0.000000,bottom
